UUID Enabled,UUID Disabled,Policy Name
{A30AF587-7347-4C2E-89F0-ADDAD0DFE036},{A8D5BF63-4755-4E44-9D6F-B6A99FA00334},Allow Use of Camera
{343BE484-E4B9-48AC-9C00-92BB364DCDE5},{095956FE-713B-4DF3-B602-7024C0C8534C},All Removable Storage classes: Deny all access
{8F9F5387-5CF1-40A0-8E0B-B497FCA45624},{1C109525-0AE0-4A95-BC37-96016154C4BD},Remove Task Manager
{99744212-B775-43A4-BC04-6339A61B02A4},{E5CF9D48-6642-4CE9-B652-4D2766DB52AF},Hot Spot Disabled(Prohibit use of Internet Connection Sharing on Your DNS domain network)
{3B72C981-D4A3-41AB-905D-E90FEC0F7024},{4774E93A-7647-40D8-A228-9DAE4568216D},Turn Off Location
{BD8D0F28-36B8-4F92-A10E-4A92FA7771CA},{0FE69103-4FD2-4CD0-86DB-80D9C570011A},Powershell or any app Disabled (Don’t run specified windows application)
{92315F1A-FD06-4BFF-9AF5-AB42121DCFBD},{D435ADB8-3FF7-4ABB-B31D-92CF597C3B59},Prevent access to registery editing tools
{0253EE24-E746-459A-948B-13E6A7BF0A97},{AA2E8A42-78B3-4B47-955A-59F9FE45C0B7},Prevent access to command prompt
{787E8F77-26A6-488A-8FC4-ADC4415BA6DE},{2FAF4160-DD56-4BD1-8557-4DEABEB07FD6},Prevent the usage of OneDrive for file storage
{3610D003-1E12-43AF-A67E-53868E44FDCC},{4060D2EA-D87C-400C-9F70-B2ECC6AFA4F5},Prevent access to drives from My Computer
